Source,Target
soggyGreyDuck,AI
FoodExternal,ML
Suspicious_Jacket463,ML
GrumpyGlasses,Discussion
KitchenFalcon4667,Coding
Ataru074,Discussion
_deepskyblue,ML
uraz5432,ML
chronicpenguins,Projects
sstlaws,Projects
mediocrity4,Discussion
yorevodkas0a,AI
AllAmericanBreakfast,Projects
PostponeIdiocracy,Coding
Dramatic_Wolf_5233,ML
Grapphie,Projects
DieselZRebel,ML
sharmasagar94,AI
thuraNagar,AI
NCpoorStudent,AI
MattDamonsTaco,Projects
bryanabraham25,AI
takuonline,Discussion
No_Information6299,AI
Voldemort57,Discussion
Head-Landscape-5799,Projects
LilJonDoe,Coding
BigSwingingMick,Projects
Artistic-Comb-5932,Projects
Traditional-Dress946,Coding
Lamp_Shade_Head,Discussion
Maleficent_Motor_173,Projects
Matematikis,Projects
szayl,Projects
portmanteaudition,ML
3xil3d_vinyl,ML
Ajinkya1413,AI
shutterthug50,ML
Still-Bookkeeper4456,Coding
ZestyData,Projects
TechNerd10191,ML
Relevant-Rhubarb-849,Projects
chandaliergalaxy,Coding
dEm3Izan,Coding
Fireslide,Coding
sn71,AI
pacific_plywood,Coding
RickSt3r,Coding
theJuniorMint07,Coding
TaXxER,Projects
IhateOnions0427,Coding
TheOuts1der,Projects
Electrical-Two9833,ML
furioncruz,Discussion
dankerton,AI
seanv507,Coding
dev-ai,Projects
Grapphie,ML
zkh77,AI
Accurate-Style-3036,Coding
fight-or-fall,ML
Powerspawn,Discussion
Mountain_Store7603,AI
Cool-Importance6004,ML
gyp_casino,Coding
Mean-Coffee-433,ML
-Montse-,Projects
Almoturg,Coding
skatastic57,Projects
XrayInfection,Coding
AlwaysBeTextin,Discussion
Dushusir,Coding
big_data_mike,Coding
Organic-Difference49,AI
Otto_von_Boismarck,Projects
geotheory,ML
FullStackAI-Alta,AI
not_invented_here,AI
BoJackHorseMan53,AI
Accurate-Style-3036,Discussion
babygrenade,AI
Fl0wer_Boi,ML
Sargasm666,Discussion
blahreport,Coding
_brownmunda,AI
Mortui75,Coding
Commercial_Army9478,ML
AdmiralArctic,AI
dbplatypii,ML
fakename115,Discussion
genobobeno_va,Projects
Wojtkie,Projects
Emotional-Rhubarb725,Discussion
acortical,AI
RobertWF_47,ML
elforce001,Coding
renomona,ML
Mysterious-Rent7233,ML
LebrawnJames416,Discussion
throwaway23029123143,Discussion
filipstine,ML
Rodeo7171,AI
berserk539,Coding
takuonline,ML
lakeland_nz,AI
temp2449,ML
waiting4omscs,AI
PLxFTW,Projects
RecognitionSignal425,Coding
Emuthusiast,ML
pg860,Discussion
Happy_Summer_2067,AI
itzritz1,Discussion
Guyserbun007,Coding
xCrek,Projects
muneriver,Discussion
_OMGTheyKilledKenny_,ML
mehul_gupta1997,ML
Damp_Out,Projects
Sad_Campaign713,Discussion
oihjoe,Projects
Murky-Motor9856,ML
RepairFar7806,Discussion
Matematikis,AI
chemical_enjoyer,Projects
JamesDaquiri,ML
redisburning,Coding
Due-Duty961,Coding
Sufficient_Meet6836,ML
Vegetable-Pack9292,Coding
digiorno,AI
Arnold891127,ML
Tunashadow,AI
onearmedecon,ML
seesplease,Coding
gnomeba,Coding
clashofphish,Projects
tree3_dot_gz,Projects
DeMarcus_C,AI
iMadz13,AI
3xil3d_vinyl,Coding
bikeskata,Discussion
plhardman,Projects
WeWantTheCup__Please,AI
bonferoni,Coding
tarheeljks,AI
AdZealousideal3741,Coding
Talisk3r,Projects
StatisticianFew6787,Projects
Wheynelau,Coding
SnooLobsters8778,Discussion
data-lite,Discussion
Turbulent_Taste_6332,AI
KryptonSurvivor,ML
Much_Discussion1490,Discussion
OxheadGreg123,Coding
JuicySmalss,Coding
data_story_teller,Discussion
Accurate-Style-3036,ML
OddEditor2467,Projects
Grapphie,Coding
Snoo-bedooo,AI
empirical-sadboy,Projects
TaiChuanDoAddct,Discussion
No-Letterhead-7547,ML
NationalSurvey,AI
KingReoJoe,AI
hybridvoices,Discussion
PsychologicalRide127,AI
Proof_Wrap_2150,Projects
Dylan_TMB,Projects
GiovannaDio,Discussion
Bardy_Bard,Discussion
raharth,ML
aligatormilk,Coding
AggressiveGander,ML
gBoostedMachinations,Projects
Sunchax,Projects
DataPastor,Coding
RecognitionSignal425,Discussion
calmot155,Projects
Old_Engineer_9176,AI
Traditional-Dress946,ML
ResearchMindless6419,Discussion
Necessary_Wing_7391,Projects
No_Information6299,Projects
acortical,Projects
lowkeyripper,Discussion
DieselZRebel,Discussion
ThrBellTroll,AI
SwitchOrganic,Projects
fordat1,Projects
meevis_kahuna,Discussion
haikusbot,AI
macumazana,AI
Sir-Viette,AI
Franzese,Discussion
RevolutionaryBox5411,AI
dmorris87,ML
Gainznsuch,AI
Stauce52,Discussion
weareglenn,Discussion
NickSinghTechCareers,Discussion
jammyftw,AI
Cuddlyaxe,Discussion
JimmyTheCrossEyedDog,Coding
Qkumbazoo,Discussion
empirical-sadboy,ML
needlzor,AI
Useful_Hovercraft169,Discussion
mehul_gupta1997,Coding
AdFew4357,Discussion
Tenet_Bull,Discussion
skatastic57,Coding
DScirclejerk,Discussion
crom5805,Projects
mehul_gupta1997,AI
lordoflolcraft,Discussion
kuwisdelu,Discussion
MicturitionSyncope,Projects
dogsdogsdogsdogswooo,AI
save_the_panda_bears,Projects
willbdb425,Projects
gyp_casino,ML
22Maxx,Coding
Tamalelulu,Coding
phicreative1997,Projects
slowpush,Discussion
SnooDoggos3844,Coding
Much_Discussion1490,ML
furioncruz,Coding
genobobeno_va,Coding
Tough-Gene7153,AI
DaveMitnick,Coding
Mescallan,AI
Physical_Yellow_6743,ML
Slimxshadyx,AI
Raz4r,Projects
ThunderingWest4,Coding
