Id,Label,Type,Post_Upvotes,Comment_Upvotes,Total_Upvotes,Flair_Interaction
mediocrity4,,user,1575,870,2445,Discussion
NickSinghTechCareers,,user,531,876,1407,Discussion
mehul_gupta1997,,user,1217,144,1361,Multiple
hybridvoices,,user,0,738,738,Discussion
Sargasm666,,user,0,732,732,Discussion
itzritz1,,user,0,574,574,Discussion
OddEditor2467,,user,0,572,572,Projects
Sad_Campaign713,,user,431,58,489,Discussion
acortical,,user,0,477,477,Multiple
Stauce52,,user,270,196,466,Discussion
SnooLobsters8778,,user,484,-29,455,Discussion
Powerspawn,,user,0,448,448,Discussion
onearmedecon,,user,0,442,442,Multiple
AdFew4357,,user,486,-54,432,Discussion
Tenet_Bull,,user,344,80,424,Discussion
Much_Discussion1490,,user,0,393,393,Multiple
Bardy_Bard,,user,0,389,389,Discussion
dev-ai,,user,350,28,378,Projects
TaiChuanDoAddct,,user,0,368,368,Discussion
lordoflolcraft,,user,0,340,340,Discussion
ultronthedestroyer,,user,0,332,332,Discussion
lowkeyripper,,user,311,0,311,Discussion
GiovannaDio,,user,224,85,309,Discussion
takuonline,,user,312,-6,306,Multiple
GrumpyGlasses,,user,0,304,304,Discussion
fakename115,,user,0,289,289,Discussion
ResearchMindless6419,,user,265,23,288,Discussion
throwaway23029123143,,user,0,275,275,Discussion
RecognitionSignal425,,user,0,266,266,Multiple
Cuddlyaxe,,user,0,263,263,Discussion
Artistic-Comb-5932,,user,0,258,258,Projects
MattDamonsTaco,,user,0,256,256,Projects
Franzese,,user,242,8,250,Discussion
David202023,,user,0,250,250,Discussion
slowpush,,user,0,247,247,Discussion
No_Information6299,,user,220,27,247,Multiple
weareglenn,,user,0,232,232,Discussion
data-lite,,user,0,214,214,Discussion
meevis_kahuna,,user,156,52,208,Discussion
Lamp_Shade_Head,,user,190,18,208,Discussion
LebrawnJames416,,user,199,0,199,Discussion
ZestyData,,user,0,199,199,Projects
DScirclejerk,,user,0,191,191,Discussion
furioncruz,,user,8,168,176,Multiple
Voldemort57,,user,127,43,170,Discussion
DieselZRebel,,user,40,128,168,Multiple
Accurate-Style-3036,,user,0,168,168,Multiple
-Montse-,,user,146,17,163,Projects
Useful_Hovercraft169,,user,0,160,160,Discussion
RepairFar7806,,user,0,159,159,Discussion
genobobeno_va,,user,0,158,158,Multiple
AlwaysBeTextin,,user,0,158,158,Discussion
muneriver,,user,0,156,156,Discussion
Emotional-Rhubarb725,,user,124,26,150,Discussion
bikeskata,,user,0,149,149,Discussion
Qkumbazoo,,user,0,149,149,Discussion
pg860,,user,128,21,149,Discussion
gBoostedMachinations,,user,0,147,147,Projects
kuwisdelu,,user,0,145,145,Discussion
data_story_teller,,user,0,144,144,Discussion
Ataru074,,user,0,144,144,Discussion
save_the_panda_bears,,user,0,142,142,Projects
fordat1,,user,0,141,141,Projects
Proof_Wrap_2150,,user,128,11,139,Projects
SwitchOrganic,,user,0,132,132,Projects
Grapphie,,user,91,39,130,Multiple
chemical_enjoyer,,user,0,128,128,Projects
Sir-Viette,,user,0,126,126,AI
Sunchax,,user,0,123,123,Projects
TSLAtotheMUn,,user,0,122,122,ML
seanv507,,user,0,122,122,Coding
KingReoJoe,,user,0,113,113,AI
redisburning,,user,0,108,108,Coding
calmot155,,user,0,106,106,Projects
_brownmunda,,user,0,96,96,AI
